@relation pairsTask


@attribute Proximity numeric
@attribute SLSMS numeric
@attribute ALS numeric
@attribute Critical {true,false}
@attribute Component {true,false}
@attribute Platform {true,false}
@attribute OS {true,false}

@data
0.0,0,0,true,false,true,true
0.0,0,0,false,false,true,false
0.0,0,0,false,false,true,false
0.0,0,0,false,false,false,false
10.134906,0,1,false,false,false,false
0.0,0,0,false,false,false,false
0.0,0,0,false,false,true,false
0.0,0,0,false,false,false,false
0.3274354,0,0,false,false,true,false
0.0,0,0,false,false,false,false
0.0,0,0,false,false,false,false
0.0,0,0,false,false,false,false
0.0,0,0,false,false,false,false
0.0,0,0,false,false,false,false
0.0,0,0,false,true,false,false
0.0,0,0,false,false,false,false
0.0,0,0,false,false,false,false
8.185885,0,0,false,false,false,false
0.0,0,1,false,false,false,false
0.0,0,0,false,true,true,true
5.8938375,4,9,true,true,true,true
14.3447895,1,1,true,false,true,true
6.517524,2,2,true,false,true,true
8.139109,7,2,true,true,true,true
27.504574,0,1,false,true,true,true
9.23056,2,0,false,true,false,false
7.8584495,19,4,false,true,true,true
0.0,0,0,false,true,true,true
0.0,0,0,false,false,true,true
0.0,0,0,false,false,true,true
0.0,0,0,false,false,true,true
0.0,0,0,false,false,false,false
17.026642,0,0,false,false,false,false
31.21551,4,5,false,false,false,false
0.0,0,0,false,false,true,true
0.0,0,0,false,true,true,true
0.8575689,8,1,false,false,true,true
0.0,1,14,false,false,true,true
0.0,0,0,false,false,true,true
0.0,0,0,false,true,true,true
0.0,0,0,false,false,true,true
0.0,0,2,false,false,true,true
0.0,0,0,false,false,true,true
0.0,0,3,false,false,true,true
0.0,0,2,false,false,true,true
0.0,0,0,false,false,true,true
0.0,0,0,false,false,true,true
0.0,1,1,false,false,true,true
0.0,0,2,false,false,true,true
0.0,0,0,false,false,true,true
0.0,0,0,false,false,true,true
0.0,0,0,false,false,true,true
0.0,0,0,false,false,true,true
0.0,0,0,false,false,true,true
0.0,0,0,false,false,true,true
0.0,0,2,false,false,true,true
0.0,0,3,false,false,true,true
0.0,0,0,false,false,true,true
0.0,0,0,false,true,true,true
0.0,0,1,false,false,true,true
0.0,0,0,false,false,true,true
0.0,0,0,false,false,true,true
0.0,0,0,false,false,true,true
0.0,0,0,false,true,true,true
7.016473,0,0,false,true,false,false
0.18710594,0,3,true,true,false,false
0.0,0,1,false,true,false,false
0.0,0,2,false,true,false,false
0.0,0,0,false,false,false,false
0.031184323,0,0,false,false,false,false
0.0,0,0,false,false,false,false
0.0,0,1,false,false,true,false
0.0,0,0,false,false,false,false
0.015592162,0,0,false,false,false,false
0.031184323,0,0,false,false,false,false
0.031184323,0,0,false,true,false,false
0.0,0,0,false,false,true,true
0.0,0,0,false,false,false,false
0.0,0,0,false,false,false,false
0.0,0,0,false,false,false,false
0.0,0,0,false,false,false,false
0.0,0,0,false,false,false,false
0.062368646,0,2,false,false,false,false
0.0,0,1,false,true,false,false
0.0,0,3,false,false,true,false
0.0,0,0,false,false,false,false
0.0,0,0,false,false,false,false
0.0,0,0,false,false,false,false
0.0,0,0,false,false,false,false
0.0,0,0,false,true,false,false
0.0,0,0,false,false,false,false
0.0,0,1,false,false,true,false
0.0,0,0,false,false,false,false
0.0,0,0,false,false,false,false
0.0,0,0,false,false,false,false
0.0,0,1,false,true,false,false
0.0,0,0,false,false,false,false
0.0,0,0,false,false,false,false
0.062368646,0,3,false,false,false,false
0.015592162,0,4,false,false,false,false
